G	 E	 S	 m
-0.5	-12.760062610981425	2.31914649597085	-0.1135791015625
-0.55	-12.923612012058813	2.348430942342794	-0.11343261718750001
-0.6	-13.10514232046761	2.36476678901103	-0.1172037760416667
-0.65	-13.303689653306996	2.3565730324324567	-0.10069498697916673
-0.7	-13.520663783407787	2.361439912244868	-0.09404459635416668
-0.75	-13.756503040288106	2.3388054423962448	-0.09296223958333334
-0.8	-14.012858455789424	2.295806834846369	-0.08097493489583334
-0.8500000000000001	-14.290485620347123	2.2703868810826875	-0.07573242187500002
-0.9	-14.595611873139099	2.0789758113648262	0.06222981770833333
-0.95	-14.944766137223324	1.6203926442488785	0.07622558593749998
