G	 dE	 E	 dS	 S	 dm	 m 	dKb 	 Kb	 dI 	I
-0.5	0.0008027839692989706	-17.011471201240887	0.0	1.0	0.09552862506912645	0.028134765625	416.41608778926184	164.7267583096722	0.003928536312945168	1.0031128326023084
-0.55	0.0008847350092138576	-17.23137288733123	0.0	1.0	0.09424387295395426	0.027740478515625	562.5437456999799	160.6049908317827	0.003631721584423529	1.0138908937505997
-0.6	0.0010781050738904827	-17.47184960809992	0.0	1.0	0.09289316093409736	0.03112060546875	829.2912439056574	-0.6788357412094943	0.003529728710183324	1.0078359664238066
-0.65	0.0012061878622929506	-17.736471159909055	0.0	1.0	0.09110278822642924	0.034534912109375	1040.8591046753734	215.86684079893388	0.0043126850143668845	1.0202394555270162
-0.7	0.0006192217903040703	-18.027233130877253	0.0	1.0	0.09036751262889597	0.0078125	1457.1877646837281	-0.9580666683613962	0.004820281185329632	1.0340468333037827
-0.75	0.001633905135608519	-18.33902281981345	0.0	1.0	0.08895381018237189	-0.002379150390625	1857.2262476821506	360.4817549541672	0.004090267749746383	1.039677229877101
-0.8	0.001902372342551402	-18.681208001865276	0.0	1.0	0.0869236779948259	-0.001983642578125	2542.4361540710365	354.8557641636266	0.004550214715279439	1.0523009070999487
-0.85	0.0022282017903150065	-19.04965916347324	0.0	1.0	0.08349572777026537	-0.0070556640625	3496.6289349275935	-2.243519964325759	0.004716726713898974	1.0854391058466704
-0.9	0.00258809193317926	-19.44974622881838	0.0	1.0	0.07950995674926513	-0.0218701171875	4832.167255696358	350.2231002968934	0.005697005167052712	1.1184203974831985
-0.95	0.0012222235837600621	-19.890218855890144	0.0	1.0	0.06782896775858124	0.00437744140625	6908.269736793243	-3.902391678417302	0.006106739487919406	1.196040080790044
-1.0	0.0018327712072778095	-20.389656949410856	0.0	1.0	0.027718959085047918	0.0124365234375	10115.920942477698	-4.802667426811928	0.007924443045928067	1.3542228498183155
-1.05	0.0009707622801297727	-20.92814501912618	0.0	1.0	0.008315857994172868	-0.01152587890625	12530.76142993018	477.52941451169113	0.009978694151980105	1.509766308491436
-1.1	0.0007841148084345445	-21.49575922141576	0.0	1.0	0.006897561761863695	0.00761474609375	14178.881089134007	517.1340802214369	0.012834493210438202	1.6475651655721464
-1.15	0.0008196431569711786	-22.092726712810745	0.0	1.0	0.005440549346205016	-0.0026123046875	16107.805539837396	486.4650033424664	0.013662010230461898	1.8484521516598642
-1.2	0.0006152124501784572	-22.715110965330123	0.0	1.0	0.004914215842069641	0.000946044921875	17567.175114644684	-8.040117516742582	0.0160161720203946	2.006409918999137
-1.25	0.0009556287355615159	-23.352943622491907	0.0	1.0	0.004079249806047175	-0.006480712890625	18702.963978261363	-8.540609148151217	0.019718657216225902	2.244487193550941
-1.3	0.0008086897671679696	-24.009155352771696	0.0	1.0	0.0037060773223065112	-2.5634765625e-05	19876.597243210887	230.02738873361895	0.017837605250944015	2.4320315351827175
-1.35	0.0008849997048790104	-24.679181359608524	0.0	1.0	0.0037100047896912085	-0.00369873046875	20938.386492080295	222.5840921813923	0.027912772364639165	2.6347869528706953
-1.4	0.0006582599674483518	-25.359583305593027	0.0	1.0	0.00308805296614107	0.00191650390625	21918.4484640273	-9.518177167083474	0.026396010924574366	2.844921676680288
-1.45	0.00065532480914927	-26.04994021598911	0.0	1.0	0.0027307941286556347	0.002130126953125	22973.06383920778	38.20402842128576	0.032897621938613265	3.1020732321773767
