G	 dE	 E	 dS	 S	 Kb	 dI 	 I
-0.5	0	-17.016712496347385	0.0	1.0	-2.100900559584735	0.010294688778423504 	1.0009245768371717
-0.55	0	-17.234856314097556	0.0	1.0	-2.36577128851331	0.00888969511451629 	1.0006025941669021
-0.6	0	-17.475850731692727	0.0	1.0	-2.6570863635042166	0.009386919683811246 	1.0022814577835113
-0.65	0	-17.740446404162853	0.0	1.0	-2.9788937296089046	0.009049177367345947 	1.003544147875738
-0.7	0	-18.02961521995455	0.0	1.0	-3.3378078645472433	0.01062487522824967 	1.0038568709593771
-0.75	0	-18.34468248450326	0.0	1.0	-3.744786300326906	0.01016685165867103 	1.009014711274033
-0.8	0	-18.687548473934864	0.0	1.0	-4.2173025699499345	0.010265540602978518 	1.0133896529744013
-0.8500000000000001	0	-19.06099334366274	0.0	1.0	-4.77949617919904	0.009621167661310137 	1.0209382757933543
-0.9	0	-19.468884432833242	0.0	1.0	-5.452747681425626	0.011271851792194287 	1.0299253337891916
-0.95	0	-19.91569573129914	0.0	1.0	-6.226717919066394	0.011055097391072697 	1.0460565931608217
-1.0	0	-20.404594474756664	0.0	1.0	-7.027898457485913	0.011246960169349887 	1.0610092066476506
-1.05	0	-20.934909980112835	0.0	1.0	-7.747645337131898	0.013029636912749942 	1.073312979520075
-1.1	0	-21.501811963865467	0.0	1.0	-8.321579074946666	0.012304930580596955 	1.0853765694809137
-1.15	0	-22.098692409571612	0.0	1.0	-8.753071577392294	0.014071932700527565 	1.1018344843285528
-1.2000000000000002	0	-22.71947684665899	0.0	1.0	-9.075823835623641	0.014599322990092986 	1.1146859778745841
-1.25	0	-23.359435592418542	0.0	1.0	-9.322837701993965	0.012933146378475917 	1.1253331292950948
-1.3	0	-24.015075758453023	0.0	1.0	-9.517766660834669	0.014680632177594079 	1.144203982685468
-1.35	0	-24.68381309689419	0.0	1.0	-9.676053269191575	0.013676549034926298 	1.1582951239575376
-1.4	0	-25.363690516582196	0.0	1.0	-9.807656292529146	0.01630749471568101 	1.1752485490379616
-1.4500000000000002	0	-26.05318361331973	0.0	1.0	-9.919138072679026	0.015294034671844457 	1.186426154029707
