G	 dE	 E	 dS	 S	 dm	 m
-0.5	0	-12.762569151024064	0.0005179179944852476	0.407898710088624	0.001709538436304317	-0.013922932942708334
-0.55	0	-12.926246012365468	0.0003071950126091112	0.48650367916008747	0.0018461978949564633	0.012206726074218749
-0.6	0	-13.10716494491873	0.00026229859810553597	0.5635555058446734	0.0015954561425623331	-0.025126342773437494
-0.65	0	-13.30600388713016	0.0002328925573320385	0.6559816565250519	0.0015261649809868727	-0.01716522216796875
-0.7	0	-13.523686903200307	0.0002211647501386889	0.7582526799882019	0.0012793594253671966	0.035998636881510414
-0.75	0	-13.761489542178861	0.00013207040804026618	0.8689093520476422	0.0008742265203795261	-0.001262919108072918
-0.8	0	-14.02114449431274	0.00012101425360798176	1.005529493384717	0.0007486694812536721	-0.005499369303385417
-0.8500000000000001	0	-14.304867281200561	0.00011622321076422961	1.1605559992388463	0.0004974559762691364	-9.684244791666595e-05
-0.9	0	-14.615142146895264	0.0001107443047476252	1.335547941659186	0.00040106396628285885	0.006190694173177084
-0.95	0	-14.95410127852543	0.00010461488148710847	1.522528425748306	0.00027283166369991416	0.0071499633789062515
-1.0	0	-15.32259515108079	0.0001026692344627705	1.7019796959924156	0.0002618990321051719	0.0008265177408854168
-1.05	0	-15.719528541526996	8.769013740128148e-05	1.8562375373370863	0.00017569870074112548	-0.0014707438151041672
-1.1	0	-16.142048984859	7.830916546266867e-05	1.9827064304063717	0.00014851792499149868	-0.0021063232421875003
-1.15	0	-16.586429499717962	7.005695985679274e-05	2.0749514759041268	0.00011582144752456985	-0.0010819498697916664
-1.2000000000000002	0	-17.048959356652848	4.911192698718841e-05	2.147316787884405	9.79634150164276e-05	-0.00150787353515625
-1.25	0	-17.526430617890966	4.515207095141297e-05	2.2004386011427273	9.717662455422663e-05	-0.0009522501627604164
-1.3	0	-18.016257598677576	3.976938691004041e-05	2.2396671168459217	8.09327141153813e-05	-0.0004684448242187499
-1.35	0	-18.516413413510367	3.527762352549878e-05	2.27044002447962	8.386979071435424e-05	0.0001057942708333336
-1.4	0	-19.025315452324794	2.7215064383124418e-05	2.2950726826661842	7.183699125052141e-05	-0.001293131510416667
-1.4500000000000002	0	-19.541717536247297	2.5918522045650383e-05	2.314809189688695	5.9314762772879644e-05	-0.0005689493815104168
