dNS	 NS	 dE	 E	 
0	50	0.14907119849998599	-60.0
0	100	0.2543449587168799	-60.044444444444444
0	150	0.33499585403736293	-60.1
0	200	0.4103596736137642	-60.17777777777778
0	250	0.4720587952499556	-60.27777777777778
0	300	0.5187830013301667	-60.44444444444444
0	350	0.521749194749951	-60.5
0	400	0.5216308708580223	-60.51111111111111
0	450	0.5626217289409849	-60.48888888888889
0	500	0.5174724898753341	-60.56666666666667
0	550	0.5159194118330622	-60.577777777777776
0	600	0.5159194118330622	-60.577777777777776
0	650	0.5198527806795371	-60.544444444444444
0	700	0.5206833117271102	-60.46666666666667
0	750	0.5072316538005923	-60.62222222222222
0	800	0.5216308708580223	-60.51111111111111
0	850	0.5212757380328845	-60.477777777777774
0	900	0.5072316538005923	-60.62222222222222
0	950	0.5187830013301667	-60.55555555555556
0	1000	0.5206833117271102	-60.46666666666667
