dNS	 NS	 dS	 S	 
0	50	0.0	2.0
0	100	0.4	1.8
0	150	0.48989794855663565	1.6
0	200	0.48989794855663565	1.6
0	250	0.45825756949558394	1.7
0	300	0.45825756949558394	1.7
0	350	0.45825756949558394	1.7
0	400	0.45825756949558394	1.7
0	450	0.48989794855663565	1.6
0	500	0.45825756949558394	1.7
0	550	0.4	1.8
0	600	0.3	1.9
0	650	0.45825756949558405	1.7
0	700	0.48989794855663565	1.6
0	750	0.4	1.8
0	800	0.48989794855663565	1.6
0	850	0.48989794855663565	1.6
0	900	0.45825756949558394	1.7
0	950	0.45825756949558394	1.7
0	1000	0.5	1.5
