dNS	 NS	 dE	 E	 
0	50	0.0	-106.0
0	100	0.0	-106.0
0	150	0.0	-106.0
0	200	0.0	-106.0
0	250	0.0	-106.0
0	300	0.10482201257840673	-106.0111111111111
0	350	0.1048220125784067	-106.0111111111111
0	400	0.20608041101101565	-106.04444444444445
0	450	0.22906142364542556	-106.05555555555556
0	500	0.3515398226568083	-106.14444444444445
0	550	0.3515398226568083	-106.14444444444445
0	600	0.458257569495584	-106.3
0	650	0.458257569495584	-106.3
0	700	0.46294814791110356	-106.31111111111112
0	750	0.4714045207910317	-106.33333333333333
0	800	0.46732757432917976	-106.32222222222222
0	850	0.4995059287330894	-106.47777777777777
0	900	0.4939135726865081	-106.42222222222222
0	950	0.49888765156985887	-106.46666666666667
0	1000	0.4874980215217845	-106.38888888888889
