dD	 D	 
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.0	1.0
0.4	1.2
0.0	2.0
0.45825756949558405	2.7
0.45825756949558405	3.7
0.0	5.0
0.4898979485566356	7.4
0.45825756949558405	11.3
0.6	16.8
0.7483314773547883	24.8
0.9219544457292888	36.5
1.0	52.0
1.2649110640673518	73.0
1.7204650534085253	100.2
1.7888543819998317	134.0
2.2891046284519194	175.4
2.2891046284519194	224.4
2.2825424421026654	279.7
2.3748684174075834	341.6
2.0124611797498106	408.5
1.9519221295943134	478.3
2.0024984394500787	549.3
2.022374841615669	619.1
1.91049731745428	685.5
1.854723699099141	747.6
1.7578395831246947	803.1
1.676305461424021	851.7
1.8547236990991407	892.6
1.6155494421403513	926.3
1.345362404707371	953.3
1.044030650891055	973.9
0.9165151389911681	989.4
0.8	1000.4
0.6000000000000001	1008.2
0.45825756949558405	1013.7
0.0	1017.0
0.4	1019.2
0.30000000000000004	1020.9
0.45825756949558405	1021.7
0.0	1022.0
0.0	1022.0
0.0	1022.0
0.0	1022.0
0.0	1022.0
0.0	1022.0
0.30000000000000004	1022.1
0.4	1022.8
0.4	1022.8
0.3	1022.9
0.3	1022.9
0.3	1022.9
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
0.0	1023.0
